Tanggal;Hari;Jam;Orang;Throughput;Latency;Jitter;Packet_Loss
13/07/2026;Senin;09:00;7;2.4434;38.89;95.65;0
13/07/2026;Senin;09:05;7;1.0679;75.24;228.36;0
13/07/2026;Senin;09:10;7;1.294;47.13;94.18;3.76
13/07/2026;Senin;09:15;7;1.2917;137.34;265.73;1.11
13/07/2026;Senin;09:20;7;1.29;22.86;22.54;1
13/07/2026;Senin;09:25;7;1.1942;158.84;394.83;0
13/07/2026;Senin;12:00;22;1.0127;191.55;482.32;2.99
13/07/2026;Senin;12:05;22;1.3672;29.21;43.3;0.42
13/07/2026;Senin;12:10;22;1.3263;27.07;32.78;0.26
13/07/2026;Senin;12:15;22;1.3033;27.87;36.81;1.51
13/07/2026;Senin;12:20;22;1.1869;43.23;128.96;2.64
13/07/2026;Senin;12:25;22;1.2778;24.55;28.8;0
13/07/2026;Senin;15:00;28;1.0996;23.13;28.03;0
13/07/2026;Senin;15:05;28;1.1611;32.11;40.39;1.7
13/07/2026;Senin;15:10;28;1.2155;52.57;111.88;8.47
13/07/2026;Senin;15:15;28;0.1986;34.88;60;0
13/07/2026;Senin;15:20;28;0.2042;114.81;242.76;0
13/07/2026;Senin;15:25;28;0.2004;40.14;73.24;1.97
14/07/2026;Selasa;09:00;8;1.1423;20.3;24.4;0.4
14/07/2026;Selasa;09:05;8;1.0911;38.2;157.27;0.36
14/07/2026;Selasa;09:10;8;1.139;21.1;34.46;0
14/07/2026;Selasa;09:15;8;1.1312;20.36;19.97;0.33
14/07/2026;Selasa;09:20;8;1.1389;102.51;266.36;0
14/07/2026;Selasa;09:25;8;1.1469;88.41;204.8;1.23
14/07/2026;Selasa;12:00;19;1.2816;142.26;162.28;1.02
14/07/2026;Selasa;12:05;19;1.5045;91.78;120.09;0.81
14/07/2026;Selasa;12:10;19;1.3633;36.12;56.08;0.75
14/07/2026;Selasa;12:15;19;1.2503;40.53;103.15;0.31
14/07/2026;Selasa;12:20;19;1.3651;55.97;31.05;0.31
14/07/2026;Selasa;12:25;19;1.4165;15;101.48;0
14/07/2026;Selasa;15:00;23;1.567;21.08;18.86;0
14/07/2026;Selasa;15:05;23;1.4221;21.71;23.18;0
14/07/2026;Selasa;15:10;23;1.4706;26.43;35.63;0.32
14/07/2026;Selasa;15:15;23;1.6251;19.09;16.78;3.23
14/07/2026;Selasa;15:20;23;1.5835;55.13;79.74;0.68
14/07/2026;Selasa;15:25;23;1.2574;45.28;82.62;0.4
15/07/2026;Rabu;09:00;4;1.4427;26.7;59.87;0.67
15/07/2026;Rabu;09:05;4;1.1746;21.22;17.4;1.76
15/07/2026;Rabu;09:10;4;1.1585;22.33;25.06;1.08
15/07/2026;Rabu;09:15;4;1.1543;22.26;23.46;2
15/07/2026;Rabu;09:20;4;1.0975;26.82;45.15;3.79
15/07/2026;Rabu;09:25;4;1.1209;22.74;37.67;1.12
15/07/2026;Rabu;12:00;12;1.3441;20.7;22.72;0.86
15/07/2026;Rabu;12:05;12;1.2514;22.3;22.42;1.94
15/07/2026;Rabu;12:10;12;1.2667;28.48;79.89;0.39
15/07/2026;Rabu;12:15;12;1.2606;41.38;95.31;1
15/07/2026;Rabu;12:20;12;1.2834;19.87;22.99;1.4
15/07/2026;Rabu;12:25;12;1.2523;31.72;35.9;1.25
15/07/2026;Rabu;15:00;19;1.279;21.28;24.69;2.11
15/07/2026;Rabu;15:05;19;1.2568;46.96;171.36;0.82
15/07/2026;Rabu;15:10;19;1.3537;33.92;64.24;1.08
15/07/2026;Rabu;15:15;19;1.1976;41.35;68.24;2.09
15/07/2026;Rabu;15:20;19;1.3399;32.01;52.62;0.97
15/07/2026;Rabu;15:25;19;0.9673;18.87;7.07;5.56
16/07/2026;Kamis;09:00;4;1.3284;19.69;22.93;0
16/07/2026;Kamis;09:05;4;1.2238;29.56;57.52;2.9
16/07/2026;Kamis;09:10;4;1.2082;40.54;100.86;2.51
16/07/2026;Kamis;09:15;4;3.9576;28.78;62.22;2.48
16/07/2026;Kamis;09:20;4;1.1046;26.74;38.62;0
16/07/2026;Kamis;09:25;4;1.05;22.55;20.44;3.27
16/07/2026;Kamis;12:00;19;1.199;17.89;11.69;3.75
16/07/2026;Kamis;12:05;19;1.1893;52.05;107.07;1.25
16/07/2026;Kamis;12:10;19;0.8832;215.56;680.93;0
16/07/2026;Kamis;12:15;19;0.9631;30.67;42.34;0.4
16/07/2026;Kamis;12:20;19;1.0579;30.12;49.99;1.45
16/07/2026;Kamis;12:25;19;0.9464;27.14;44.41;1.27
16/07/2026;Kamis;15:00;14;2.0325;23.78;38.32;0
16/07/2026;Kamis;15:05;14;3.9218;25.64;42.76;0
16/07/2026;Kamis;15:10;14;2.8738;122.27;426.32;0.92
16/07/2026;Kamis;15:15;14;3.1563;72.93;242.1;0
16/07/2026;Kamis;15:20;14;3.146;19.45;21.9;4.3
16/07/2026;Kamis;15:25;14;3.1106;18.34;13.87;2.87
17/07/2026;Jumat;09:00;5;1.3698;21.83;20.02;0.56
17/07/2026;Jumat;09:05;5;1.3556;21.5;28.96;0.29
17/07/2026;Jumat;09:10;5;1.1904;21.18;22.21;4.66
17/07/2026;Jumat;09:15;5;1.2584;21.33;18.82;1.08
17/07/2026;Jumat;09:20;5;1.3073;22.6;31.54;0.61
17/07/2026;Jumat;09:25;5;1.3103;22.32;25.51;0.54
17/07/2026;Jumat;12:00;6;1.2539;43.79;185.05;1.62
17/07/2026;Jumat;12:05;6;2.227;20.63;20.97;1.4
17/07/2026;Jumat;12:10;6;0.7606;20.71;21.46;1.19
17/07/2026;Jumat;12:15;6;0.783;26.45;43.95;4.23
17/07/2026;Jumat;12:20;6;1.0735;19.93;19.64;0
17/07/2026;Jumat;12:25;6;0.8534;18.7;18.2;0
17/07/2026;Jumat;15:00;8;1.2771;24.69;26.86;0
17/07/2026;Jumat;15:05;8;1.275;25.77;29.27;0
17/07/2026;Jumat;15:10;8;1.2315;27.38;32.44;0.5
17/07/2026;Jumat;15:15;8;2.1534;85.35;159.28;0.54
17/07/2026;Jumat;15:20;8;1.2623;23.78;27.96;0
17/07/2026;Jumat;15:25;8;2.3836;27.35;30.45;0
18/07/2026;Sabtu;09:00;2;0.6377;46.11;206.84;1.18
18/07/2026;Sabtu;09:05;2;0.7615;22.99;31.71;6.22
18/07/2026;Sabtu;09:10;2;0.8416;24.08;39.43;1.54
18/07/2026;Sabtu;09:15;2;0.7315;21.17;27.69;0.56
18/07/2026;Sabtu;09:20;2;0.741;19.69;18.57;1
18/07/2026;Sabtu;09:25;2;0.7124;121;220.74;3.02
18/07/2026;Sabtu;12:00;3;0.8303;22.1;28.12;1.11
18/07/2026;Sabtu;12:05;3;0.835;19.15;22.11;0.5
18/07/2026;Sabtu;12:10;3;0.8821;18.46;17.9;0
18/07/2026;Sabtu;12:15;3;0.8537;19.24;25.79;0
18/07/2026;Sabtu;12:20;3;0.8007;30.11;67.28;1
18/07/2026;Sabtu;12:25;3;0.8286;20.72;20.22;0
18/07/2026;Sabtu;15:00;3;0.8937;18.33;22.71;0
18/07/2026;Sabtu;15:05;3;0.8446;19.49;22.96;0
18/07/2026;Sabtu;15:10;3;0.8218;19.12;22.01;0
18/07/2026;Sabtu;15:15;3;0.7965;19.48;22.26;0.97
18/07/2026;Sabtu;15:20;3;0.7807;19.19;23.77;0
18/07/2026;Sabtu;15:25;3;0.8189;18.91;21.28;1.11
19/07/2026;Minggu;09:00;2;0.8855;21.96;45.35;1.08
19/07/2026;Minggu;09:05;2;0.87;15;7.49;1.15
19/07/2026;Minggu;09:10;2;0.9751;15;5;1.03
19/07/2026;Minggu;09:15;2;1.1152;15.68;33.73;1.02
19/07/2026;Minggu;09:20;2;0.9175;15;49.57;1.02
19/07/2026;Minggu;09:25;2;1.0145;15;35.62;0.99
19/07/2026;Minggu;12:00;2;1.0547;55.12;30.47;0.66
19/07/2026;Minggu;12:05;2;1.1083;36.03;125.72;0.56
19/07/2026;Minggu;12:10;2;1.0073;35.12;5;0.66
19/07/2026;Minggu;12:15;2;1.178;15;5;0.31
19/07/2026;Minggu;12:20;2;1.2424;15;5;0.4
19/07/2026;Minggu;12:25;2;1.1808;39.1;155.41;0.44
19/07/2026;Minggu;15:00;2;1.3041;22.09;29.41;0.72
19/07/2026;Minggu;15:05;2;1.2734;15;67.35;0.4
19/07/2026;Minggu;15:10;2;1.4502;15;48.57;0.56
19/07/2026;Minggu;15:15;2;1.2268;15;5;0.19
19/07/2026;Minggu;15:20;2;1.2508;50.33;5;0.07
19/07/2026;Minggu;15:25;2;1.5568;46.43;5;0.09
20/07/2026;Senin;09:00;8;1.4735;24.22;30.11;0
20/07/2026;Senin;09:05;8;1.5468;20.81;24.59;0
20/07/2026;Senin;09:10;8;1.9624;20.7;14.46;0.27
20/07/2026;Senin;09:15;8;1.1971;23.51;25.9;0
20/07/2026;Senin;09:20;8;1.059;29.36;76.79;0.61
20/07/2026;Senin;09:25;8;1.0714;23.69;25.31;0
20/07/2026;Senin;12:00;13;0.8134;21.58;23.31;0
20/07/2026;Senin;12:05;13;1.3223;21.89;22;0
20/07/2026;Senin;12:10;13;1.3037;20.62;20.7;5.11
20/07/2026;Senin;12:15;13;1.3357;18.96;17.35;0
